519416,Amazing City Center Private Room,2556184,Sonia,Dublin City,53.34773,-6.26858,Private room,52,2,238,24/11/2019,2.41,1
526767,Designer Apt in the heart of Dublin,2340296,Dardo,Dublin City,53.34769,-6.26388,Entire home/apt,140,1,503,04/04/2020,5.24,1
536320,Amazing views in centre of Dublin,1334552,Alison,Dublin City,53.34948,-6.27997,Private room,50,3,250,23/03/2020,2.57,1
543972,Historic Guinness-Built City Centre,2674292,John,Dublin City,53.33588,-6.29231,Entire home/apt,199,3,58,09/03/2020,0.59,1
547945,Single room at Blessington Basin,2692493,Alwyn,Dublin City,53.35672,-6.27069,Private room,35,1,710,14/03/2020,7.22,1
587218,sunny double room in victorian home,2895736,James And Tom,Dublin City,53.36274,-6.27564,Private room,80,2,191,09/03/2020,2,1
641880,Double room w shower by city centre,3207141,Hazel,Dublin City,53.34459,-6.28475,Private room,85,2,46,19/09/2016,0.63,2
654589,City Centre Apartment | TEMPLE BAR | DUBLIN CASTLE,3244025,Garrett,Dublin City,53.34489,-6.26804,Entire home/apt,99,3,469,24/07/2020,4.88,2
690119,Extensively Modernised Georgian House near Everything,3525420,Sarah,Dn Laoghaire-Rathdown,53.29306,-6.24698,Entire home/apt,295,5,208,21/02/2020,2.4,1
692956,Studio Apartment  Ideal for visiting Dublin,3244818,Jim,Dn Laoghaire-Rathdown,53.28101,-6.12892,Entire home/apt,55,2,265,19/03/2020,2.96,1
700142,Dublin  16. Wicklow Way Rest,3591857,Anne-Marie,Dn Laoghaire-Rathdown,53.25883,-6.29157,Private room,80,2,27,27/09/2019,0.4,3
700193,Dublin South Foothills Walkers Base,3591857,Anne-Marie,Dn Laoghaire-Rathdown,53.25859,-6.29201,Entire home/apt,300,2,1,02/11/2019,0.11,3
715205,Gracepark Guesthouse 1,3683952,Roy,Dublin City,53.37019,-6.25003,Private room,50,2,96,09/03/2020,1.02,6
726011,Sunset Crag - Beautiful Apartment,3755932,Valerie,Fingal,53.58179,-6.12118,Entire home/apt,110,3,124,19/07/2020,1.49,1
726075,Chestnut view- 4*approved,3756388,Mary,Dublin City,53.36973,-6.25788,Entire home/apt,90,7,3,02/09/2017,0.05,1
736751,Gracepark Guesthouse 2,3683952,Roy,Dublin City,53.37184,-6.25112,Private room,50,2,70,18/03/2020,0.74,6
736773,Gracepark Guesthouse 3,3683952,Roy,Dublin City,53.37195,-6.25289,Private room,50,2,64,26/01/2020,0.7,6
736794,Gracepark Guesthouse 4,3683952,Roy,Dublin City,53.37207,-6.25229,Private room,50,2,82,11/07/2020,0.95,6
742656,Camden Central. Dublin at your door,3888023,Daragh,Dublin City,53.33484,-6.26428,Private room,60,2,329,08/03/2020,4.18,2
747284,Luxury 2 BED Apartment near  City Centre,1626936,James P  ( J.P),Dn Laoghaire-Rathdown,53.29444,-6.23302,Entire home/apt,89,1,29,15/03/2020,0.32,1
761912,Near Airport & beach free parking & WiFi,3668533,Sharon & Michael,Fingal,53.43805,-6.15639,Private room,100,3,65,23/12/2019,0.71,1
800026,Gracepark Guesthouse Groups,3683952,Roy,Dublin City,53.36879,-6.2494,Entire home/apt,300,1,75,02/02/2020,0.86,6
871174,The room that sleeps three,4592908,Louise,Dublin City,53.36777,-6.2081,Private room,30,2,214,08/06/2020,2.38,3
872539,Contemporary Victorian cottage,4603565,Aida,Dublin City,53.35799,-6.23991,Entire home/apt,200,3,97,01/01/2020,1.08,1
922425,Perfect Location City Centre House,1607393,Daragh,Dublin City,53.34202,-6.27351,Entire home/apt,134,2,126,05/01/2020,1.42,3
928970,Self Catering Barge 'Scéal Eile',5001093,Trish,Dublin City,53.34246,-6.2391,Entire home/apt,165,2,37,09/03/2020,0.44,2
990300,**Superhost Home Near City**,5438017,Melanie,Dublin City,53.31327,-6.2528,Private room,65,1,205,25/02/2018,2.29,1
998407,self contained cozy tot private near city & airpor,1245198,Amanda,Dublin City,53.39622,-6.1756,Entire home/apt,45,1,185,23/03/2020,2.66,3
999963,Ten-shui Meatman's Quarter,5497230,Sarah And Johnny,Dublin City,53.36181,-6.27475,Entire home/apt,200,7,10,16/08/2017,0.14,1
1017861,Double Room with Private Bathroom,5601956,Rob And Stef,Dublin City,53.37804,-6.32835,Private room,50,3,112,12/03/2020,1.34,1
1064692,Unique City Centre Location,5859508,Sean,Dublin City,53.33907,-6.24945,Private room,44,15,94,19/07/2019,1.07,1
1073487,Open Plan Dublin/UCD Adjacent Home,5905039,Jane,Dn Laoghaire-Rathdown,53.30296,-6.24063,Private room,55,3,51,08/09/2019,0.58,1
1173029,Great house in vibrant Stoneybatter,3448346,Ian,Dublin City,53.3524,-6.27981,Entire home/apt,125,3,306,14/03/2020,4.91,1
1207950,Large 5 Star Prime South Dublin House,6593571,Dave & Ann,Dn Laoghaire-Rathdown,53.28315,-6.24647,Entire home/apt,320,5,62,16/09/2019,0.73,1
1244710,NEW° Modern Design Apartment - No Internet,5605429,Eddy,Dublin City,53.35352,-6.25016,Entire home/apt,128,3,65,23/02/2020,0.77,4
1270261,Old Country house,474328,James,Fingal,53.56548,-6.31617,Private room,70,1,7,17/03/2019,0.1,1
1276002,City Centre HOME by the Liffey w outdoor Patio,6938108,Caroline,Dublin City,53.3519,-6.23396,Entire home/apt,350,2,62,13/10/2019,0.78,1
